id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
33,orlando,2009,volkswagen,good,4 cylinders,,106666,clean,automatic,fwd,full-size,sedan,black,fl,6063
34,sarasota-bradenton,1992,chevrolet,good,8 cylinders,gas,64430,clean,manual,rwd,full-size,truck,black,fl,8432
35,las cruces,2013,toyota,good,4 cylinders,gas,21293,clean,automatic,fwd,full-size,SUV,blue,nm,8403
36,mohave county,2012,ford,excellent,4 cylinders,gas,105981,clean,automatic,fwd,mid-size,sedan,blue,az,16079
37,tulsa,2006,RAM,excellent,6 cylinders,diesel,141099,clean,manual,4wd,full-size,pickup,silver,ok,23375
38,indianapolis,2015,chevrolet,good,8 cylinders,,95888,clean,automatic,4wd,full-size,truck,white,in,6655
39,fresno / madera,2012,volkswagen,fair,6 cylinders,gas,152452,clean,manual,fwd,compact,sedan,blue,ca,7142
40,norfolk / hampton roads,2013,ford,good,4 cylinders,gas,174294,clean,automatic,fwd,full-size,sedan,black,va,6411
41,duluth / superior,2015,BMW,excellent,6 cylinders,gas,55954,rebuilt,manual,4wd,full-size,SUV,black,mn,20514
42,san antonio,1988,ford,fair,8 cylinders,gas,147310,rebuilt,manual,4wd,full-size,pickup,green,,6205
43,western massachusetts,2013,ford,excellent,6 cylinders,gas,103601,clean,automatic,rwd,full-size,truck,black,ma,17873
44,rochester,2008,jeep,fair,6 cylinders,gas,-1,clean,automatic,4wd,full-size,SUV,black,ny,5077
45,flagstaff / sedona,2013,ｃｈｅｖｒｏｌｅｔ,excellent,8 cylinders,gas,56930,clean,automatic,4wd,full-size,truck,black,,46743
46,"washington, DC",2004,ford,fair,8 cylinders,diesel,150525,clean,automatic,rwd,full-size,truck,orange,dc,1027
47,"washington, DC",2014,honda,excellent,4 cylinders,gas,205226,clean,automatic,fwd,mid-size,sedan,black,dc,11054
48,colorado springs,2012,NISSAN,like new,4 cylinders,gas,124806,clean,automatic,fwd,compact,sedan,silver,co,8435
49,dayton / springfield,2009,bmw,excellent,6 cylinders,gas,50287,clean,automatic,fwd,mid-size,SUV,silver,oh,19194
50,delaware,2015,hyundai,good,4 cylinders,gas,102767,clean,manual,fwd,mid-size,coupe,black,de,8657
51,central NJ,2001,honda,good,4 cylinders,gas,173122,clean,automatic,fwd,full-size,van,black,nj,10228
52,las vegas,2013,bmw,excellent,6 cylinders,gas,101274,rebuilt,automatic,fwd,mid-size,coupe,black,,16321
53,las vegas,2006,bmw,excellent,4 cylinders,gas,136191,clean,automatic,fwd,full-size,sedan,black,nv,4486
54,central NJ,1999,chrysler,good,6 cylinders,gas,191476,clean,manual,fwd,mid-size,coupe,black,nj,5293
55,greenville / upstate,1996,ford,good,8 cylinders,diesel,92613,clean,automatic,4wd,full-size,truck,white,sc,23954
56,eastern panhandle,2015,toyota,excellent,4 cylinders,gas,328676,rebuilt,automatic,fwd,mid-size,sedan,black,wv,6234
57,nashville,2016,ford,excellent,6 cylinders,gas,133560,rebuilt,automatic,4wd,full-size,SUV,black,tn,8938
58,eau claire,2011,gmc,excellent,8 cylinders,diesel,97739,clean,automatic,4wd,full-size,SUV,black,wi,13755
59,santa maria,1988,chevrolet,good,6 cylinders,gas,135072,clean,manual,fwd,full-size,SUV,blue,ca,3718
60,norfolk / hampton roads,1971,ford,good,8 cylinders,gas,71430,clean,automatic,rwd,full-size,truck,white,va,19077
61,detroit metro,2003,mazda,fair,4 cylinders,gas,229610,clean,manual,fwd,compact,sedan,black,mi,4364
62,knoxville,1994,bmw,excellent,8 cylinders,gas,67264,clean,automatic,rwd,full-size,sedan,white,tn,16145
63,richmond,2015,audi,excellent,4 cylinders,gas,151032,clean,automatic,fwd,mid-size,sedan,silver,va,9561
64,detroit metro,1998,ford,fair,8 cylinders,gas,192165,clean,automatic,rwd,full-size,sedan,brown,mi,6507
65,rhode island,2009,buick,excellent,4 cylinders,gas,76724,clean,automatic,4wd,mid-size,SUV,green,ri,8359
66,harrisonburg,2007,ford,fair,4 cylinders,,327467,clean,automatic,fwd,mid-size,SUV,silver,va,6207
67,"washington, DC",2008,ram,excellent,6 cylinders,diesel,111940,clean,other,fwd,full-size,truck,red,dc,8216
68,reading,2013,lincoln,excellent,4 cylinders,gas,166614,clean,automatic,fwd,full-size,sedan,blue,pa,9778
69,colorado springs,1999,chevrolet,good,8 cylinders,gas,160687,clean,automatic,4wd,full-size,SUV,black,co,13087
70,rockford,2016,subaru,excellent,4 cylinders,gas,118734,clean,automatic,fwd,mid-size,SUV,blue,il,26359
71,northern michigan,2013,ford,good,10 cylinders,gas,150309,clean,automatic,rwd,full-size,truck,black,mi,11384
72,bend,2002,honda,good,4 cylinders,gas,198472,clean,automatic,fwd,compact,hatchback,blue,or,4081
73,pueblo,2013,kia,excellent,4 cylinders,gas,137182,clean,automatic,fwd,compact,hatchback,silver,co,7564
74,houston,1989,jeep,excellent,8 cylinders,gas,109376,clean,manual,4wd,full-size,SUV,white,tx,7366
75,albany,2012,ford,good,8 cylinders,gas,126666,clean,automatic,4wd,full-size,pickup,blue,,17869
76,killeen / temple / ft hood,2016,jeep,like new,6 cylinders,gas,61659,parts only,automatic,4wd,mid-size,SUV,blue,tx,39321
77,stockton,2008,bmw,excellent,4 cylinders,gas,121863,clean,automatic,fwd,full-size,sedan,black,ca,5114
78,cleveland,2012,bmw,excellent,6 cylinders,gas,114965,clean,automatic,rwd,mid-size,coupe,black,oh,12874
79,south jersey,2016,bmw,excellent,6 cylinders,gas,102584,rebuilt,automatic,fwd,mid-size,sedan,blue,nj,36691
80,salt lake city,2010,buick,excellent,6 cylinders,gas,131694,clean,automatic,fwd,mid-size,SUV,white,ut,5172
81,des moines,2014,chevrolet,excellent,4 cylinders,gas,112367,rebuilt,automatic,fwd,mid-size,sedan,black,ia,17022
82,rhode island,2011,toyota,fair,4 cylinders,gas,188249,clean,automatic,fwd,mid-size,SUV,blue,ri,2154
83,rochester,2012,RAM,excellent,8 cylinders,gas,134571,clean,automatic,4wd,full-size,truck,silver,ny,25896
84,atlanta,2003,FORD,good,4 cylinders,gas,145781,clean,automatic,fwd,full-size,coupe,black,ga,5850
85,rochester,2012,dodge,like new,6 cylinders,gas,88404,clean,automatic,4wd,mid-size,SUV,white,ny,14905
86,syracuse,1995,ram,good,8 cylinders,diesel,167305,clean,automatic,4wd,full-size,truck,white,ny,7577
87,wilmington,2003,ford,fair,6 cylinders,gas,146322,clean,automatic,4wd,full-size,SUV,silver,de,11059
88,baltimore,2012,lexus,excellent,6 cylinders,gas,180681,clean,automatic,fwd,mid-size,SUV,silver,md,3492
89,sarasota-bradenton,1997,mercedes-benz,fair,12 cylinders,gas,145446,clean,automatic,rwd,compact,coupe,red,fl,16507
90,"kansas city, MO",2012,dodge,excellent,6 cylinders,gas,109028,rebuilt,automatic,fwd,mid-size,sedan,blue,mo,8886
91,columbus,2009,toyota,good,4 cylinders,gas,227871,clean,automatic,fwd,mid-size,wagon,green,oh,7572
92,central NJ,2005,honda,excellent,4 cylinders,gas,121319,clean,manual,fwd,compact,sedan,blue,nj,3098
93,boston,2006,hyundai,good,4 cylinders,gas,219844,clean,manual,fwd,full-size,sedan,silver,ma,2276
94,albany,2007,ford,excellent,8 cylinders,gas,147568,clean,automatic,rwd,full-size,truck,brown,ny,5740
95,orange county,2016,ford,good,6 cylinders,gas,37991,clean,automatic,rwd,full-size,van,white,ca,30566
96,santa maria,2010,ram,excellent,6 cylinders,gas,88676,clean,automatic,4wd,full-size,pickup,black,ca,24123
97,prescott,2016,ｂｍｗ,like new,4 cylinders,gas,85737,clean,manual,fwd,compact,convertible,red,az,7817
98,"washington, DC",2001,ford,fair,6 cylinders,gas,173499,clean,automatic,fwd,full-size,SUV,silver,dc,3063
99,bowling green,2006,ford,excellent,4 cylinders,gas,108928,clean,manual,rwd,full-size,van,red,ky,5836
100,jacksonville,2011,BMW,excellent,6 cylinders,gas,108774,clean,automatic,4wd,mid-size,SUV,red,fl,8563
101,tucson,2009,TOYOTA,fair,6 cylinders,gas,220385,clean,automatic,fwd,full-size,SUV,green,,7426
102,greensboro,2013,ford,excellent,8 cylinders,gas,53292,rebuilt,automatic,4wd,mid-size,SUV,blue,nc,42154
103,san diego,2019,nissan,excellent,4 cylinders,gas,138595,clean,automatic,fwd,full-size,SUV,black,,10601
104,tucson,2010,ford,excellent,4 cylinders,gas,24949,clean,automatic,4wd,mid-size,SUV,black,az,21529
105,baltimore,2015,jeep,fair,6 cylinders,gas,138419,clean,automatic,fwd,full-size,SUV,white,md,4440
106,detroit metro,2013,honda,excellent,6 cylinders,gas,28173,rebuilt,automatic,fwd,full-size,sedan,black,mi,10979
107,corpus christi,1995,ford,good,8 cylinders,gas,115452,clean,manual,fwd,mid-size,coupe,blue,tx,5852
108,chicago,2010,bmw,excellent,6 cylinders,gas,158058,clean,manual,4wd,compact,SUV,silver,il,8725
109,charlotte,1990,ram,fair,8 cylinders,gas,135456,clean,automatic,fwd,full-size,pickup,blue,nc,5284
110,central NJ,1997,ford,good,8 cylinders,gas,92758,clean,manual,rwd,full-size,coupe,white,nj,23657
111,central NJ,2011,chevrolet,good,8 cylinders,gas,81336,rebuilt,manual,rwd,mid-size,sedan,white,nj,8386
112,anchorage / mat-su,2002,ford,good,8 cylinders,diesel,243694,clean,automatic,4wd,full-size,truck,silver,ak,13881
113,st cloud,1998,toyota,good,6 cylinders,gas,214411,clean,automatic,fwd,mid-size,SUV,silver,mn,2336
114,tulsa,2014,ford,excellent,6 cylinders,diesel,107947,clean,manual,4wd,full-size,pickup,black,ok,18710
115,rhode island,2012,toyota,excellent,6 cylinders,gas,82367,clean,automatic,fwd,compact,sedan,white,,7294
116,rhode island,2010,gmc,excellent,6 cylinders,gas,147162,clean,automatic,4wd,full-size,SUV,silver,ri,8935
117,madison,2014,honda,good,4 cylinders,gas,150213,clean,automatic,fwd,mid-size,SUV,blue,wi,11467
118,indianapolis,2011,bmw,excellent,6 cylinders,gas,122781,clean,automatic,4wd,full-size,SUV,blue,in,14478
119,boise,2005,chevrolet,excellent,6 cylinders,gas,136071,rebuilt,automatic,4wd,mid-size,pickup,silver,id,8120
120,long island,2007,chevrolet,excellent,4 cylinders,gas,36953,clean,automatic,4wd,full-size,SUV,black,,25010
121,baltimore,2004,ford,like new,8 cylinders,,214678,clean,automatic,fwd,full-size,van,grey,md,1533
122,bakersfield,2013,mitsubishi,excellent,4 cylinders,gas,151408,clean,other,fwd,full-size,SUV,green,ca,3247
123,central NJ,1983,chevrolet,fair,8 cylinders,gas,18207,clean,automatic,rwd,full-size,truck,black,nj,29532
124,vermont,1996,chevrolet,good,8 cylinders,gas,178183,clean,automatic,rwd,sub-compact,truck,black,,3288
125,orange county,2014,ford,excellent,6 cylinders,gas,121382,salvage,automatic,4wd,compact,offroad,black,ca,17791
126,flagstaff / sedona,2010,toyota,salvage,4 cylinders,gas,209187,clean,manual,fwd,compact,sedan,green,az,1161
127,central NJ,1982,ram,excellent,8 cylinders,,151312,clean,automatic,4wd,full-size,truck,grey,nj,22234
128,high rockies,2013,ford,excellent,4 cylinders,gas,79889,clean,automatic,rwd,mid-size,SUV,silver,co,50072
129,la crosse,2012,ford,good,8 cylinders,gas,75510,clean,automatic,fwd,full-size,truck,white,wi,6278
130,orlando,1994,chevrolet,excellent,6 cylinders,gas,150367,clean,manual,fwd,full-size,sedan,blue,fl,6008
131,worcester / central MA,2014,BMW,excellent,6 cylinders,gas,60298,rebuilt,automatic,rwd,mid-size,SUV,black,ma,32528
132,los angeles,2015,audi,excellent,4 cylinders,gas,148248,rebuilt,manual,fwd,mid-size,SUV,black,ca,12681
133,baltimore,2014,FORD,excellent,4 cylinders,gas,72493,clean,automatic,fwd,full-size,SUV,black,md,24342
134,western massachusetts,2017,jeep,excellent,6 cylinders,gas,16219,clean,manual,4wd,full-size,SUV,blue,ma,18140
135,tucson,2016,ram,excellent,10 cylinders,,76158,clean,manual,4wd,full-size,truck,black,az,21581
136,syracuse,2019,chevrolet,excellent,4 cylinders,gas,127850,clean,automatic,4wd,full-size,truck,white,ny,17793
137,central NJ,2013,FORD,excellent,6 cylinders,gas,102353,clean,automatic,fwd,mid-size,sedan,black,nj,7533
138,pittsburgh,2014,chevrolet,excellent,6 cylinders,diesel,119266,clean,automatic,4wd,full-size,pickup,black,,13083
139,klamath falls,2009,bmw,excellent,6 cylinders,gas,140728,clean,manual,rwd,mid-size,convertible,silver,or,10849
140,florence / muscle shoals,2010,toyota,fair,4 cylinders,gas,173036,,automatic,fwd,mid-size,,black,al,3255
141,rhode island,2019,jeep,like new,6 cylinders,gas,106009,clean,automatic,4wd,full-size,SUV,silver,ri,20732
142,milwaukee,2008,CHEVROLET,excellent,8 cylinders,gas,153913,clean,automatic,rwd,full-size,SUV,silver,wi,3226
143,chattanooga,2004,chrysler,excellent,6 cylinders,,115687,clean,manual,fwd,full-size,mini-van,brown,tn,4933
144,orange county,2006,toyota,good,6 cylinders,gas,101613,clean,automatic,fwd,full-size,coupe,white,ca,5494
145,las vegas,2014,toyota,excellent,6 cylinders,gas,37571,clean,manual,fwd,mid-size,SUV,black,nv,29437
146,huntsville / decatur,2012,toyota,good,4 cylinders,gas,133359,clean,automatic,fwd,full-size,SUV,black,al,5735
147,humboldt county,2014,ford,excellent,8 cylinders,gas,16521,clean,automatic,4wd,mid-size,truck,black,ca,18419
148,western massachusetts,2002,ford,fair,6 cylinders,gas,157889,,manual,fwd,full-size,,silver,ma,5568
149,medford-ashland,2008,ram,excellent,6 cylinders,gas,107943,clean,automatic,4wd,full-size,truck,grey,or,36197
150,des moines,2002,nissan,good,6 cylinders,gas,182165,clean,automatic,fwd,mid-size,SUV,blue,ia,5339
151,new york city,2014,mitsubishi,excellent,4 cylinders,gas,118635,rebuilt,automatic,fwd,mid-size,sedan,red,ny,6472
152,rochester,2018,jeep,fair,6 cylinders,gas,7299,clean,manual,4wd,mid-size,SUV,black,ny,18664
153,northwest CT,2013,chevrolet,excellent,4 cylinders,gas,104338,clean,automatic,4wd,full-size,sedan,green,ct,6168
154,madison,2017,bmw,like new,6 cylinders,diesel,10566,clean,automatic,4wd,full-size,SUV,black,wi,37070
155,northwest CT,1975,CHEVROLET,excellent,6 cylinders,gas,29232,clean,manual,rwd,full-size,coupe,white,,28109
156,wyoming,2008,toyota,new,6 cylinders,gas,174860,clean,manual,fwd,full-size,truck,silver,wy,22855
157,youngstown,2015,mazda,excellent,6 cylinders,gas,111849,clean,automatic,fwd,compact,sedan,blue,oh,8146
158,western slope,2013,bmw,like new,6 cylinders,gas,95864,clean,automatic,fwd,full-size,SUV,silver,co,7197
159,bismarck,1987,ford,fair,8 cylinders,gas,184379,clean,manual,rwd,full-size,coupe,green,nd,3559
160,maine,2009,jeep,excellent,6 cylinders,gas,99959,clean,automatic,4wd,compact,SUV,white,me,8589
161,albany,2013,ford,excellent,6 cylinders,gas,65428,clean,automatic,fwd,mid-size,SUV,black,ny,21725
162,orange county,2014,volkswagen,like new,4 cylinders,gas,98187,clean,automatic,fwd,compact,sedan,white,ca,7000
163,sarasota-bradenton,2013,honda,like new,4 cylinders,gas,112474,clean,automatic,fwd,compact,sedan,black,fl,13342
164,fargo / moorhead,1999,FORD,like new,6 cylinders,gas,165983,clean,manual,rwd,full-size,truck,black,mn,4653
165,rochester,2016,honda,like new,6 cylinders,gas,73174,clean,automatic,fwd,full-size,SUV,blue,ny,20326
166,south jersey,2007,ford,like new,4 cylinders,gas,338606,clean,manual,4wd,mid-size,SUV,green,nj,3984
167,omaha / council bluffs,2011,jeep,excellent,6 cylinders,gas,128012,clean,automatic,4wd,mid-size,pickup,black,ia,16450
168,tucson,2012,hyundai,excellent,6 cylinders,gas,93823,clean,automatic,fwd,full-size,sedan,black,az,8708
169,flagstaff / sedona,1992,ford,good,8 cylinders,gas,102829,clean,manual,rwd,full-size,pickup,black,az,14371
170,jacksonville,2012,ford,excellent,4 cylinders,gas,128149,rebuilt,automatic,fwd,mid-size,SUV,white,fl,10945
171,winston-salem,2002,volkswagen,good,4 cylinders,gas,202170,clean,manual,fwd,full-size,coupe,silver,nc,5026
172,eugene,2006,hyundai,excellent,6 cylinders,gas,245344,rebuilt,automatic,4wd,full-size,SUV,black,or,6381
173,las vegas,2013,bmw,excellent,6 cylinders,gas,104113,clean,automatic,rwd,mid-size,coupe,silver,nv,14364
174,jersey shore,2011,volkswagen,excellent,4 cylinders,gas,95662,clean,automatic,fwd,mid-size,sedan,silver,nj,4709
175,colorado springs,2015,kia,good,4 cylinders,gas,169314,clean,automatic,fwd,mid-size,SUV,silver,co,5456
176,flint,1990,GMC,fair,6 cylinders,gas,166080,clean,manual,4wd,full-size,truck,green,mi,1395
177,little rock,1987,ford,fair,8 cylinders,gas,82758,clean,manual,rwd,full-size,truck,red,ar,13194
178,rochester,2016,jeep,like new,6 cylinders,diesel,101848,clean,automatic,4wd,full-size,SUV,black,,27672
179,oklahoma city,2012,honda,good,6 cylinders,gas,41822,clean,automatic,rwd,full-size,sedan,white,ok,16498
180,baltimore,2014,hyundai,excellent,4 cylinders,gas,122429,clean,automatic,fwd,full-size,sedan,black,md,5004
181,pittsburgh,2012,chevrolet,excellent,8 cylinders,diesel,96456,clean,automatic,4wd,full-size,truck,white,pa,32445
182,philadelphia,2012,volkswagen,excellent,4 cylinders,gas,98282,clean,automatic,fwd,compact,sedan,black,pa,5773
183,knoxville,2010,bmw,like new,6 cylinders,gas,85266,clean,automatic,fwd,mid-size,sedan,blue,tn,16234
184,boulder,1988,bmw,excellent,6 cylinders,gas,140386,clean,manual,rwd,mid-size,convertible,silver,co,5397
185,rockford,2010,buick,excellent,4 cylinders,gas,153694,clean,automatic,4wd,mid-size,SUV,red,il,26882
186,knoxville,2011,ford,excellent,8 cylinders,diesel,127365,clean,automatic,4wd,full-size,SUV,black,tn,6462
187,beaumont / port arthur,2011,ford,excellent,6 cylinders,gas,141429,rebuilt,automatic,4wd,full-size,truck,black,tx,22982
188,hawaii,2014,volkswagen,excellent,4 cylinders,gas,74390,clean,automatic,fwd,compact,sedan,silver,hi,18075
189,colorado springs,2009,nissan,excellent,4 cylinders,gas,172978,clean,automatic,4wd,mid-size,SUV,silver,co,26809
190,albany,2015,chevrolet,good,4 cylinders,gas,44747,clean,automatic,fwd,full-size,SUV,black,,7534
191,winchester,1953,dodge,good,4 cylinders,gas,55057,clean,automatic,fwd,compact,coupe,purple,va,1043
192,tucson,2001,ｆｏｒｄ,excellent,8 cylinders,gas,81849,clean,automatic,rwd,full-size,SUV,green,,4701
193,reno / tahoe,2014,jeep,excellent,6 cylinders,gas,103068,clean,automatic,4wd,full-size,SUV,black,ca,20640
194,duluth / superior,2010,bmw,excellent,8 cylinders,gas,170409,clean,other,4wd,full-size,SUV,blue,mn,22648
195,milwaukee,2013,nissan,excellent,6 cylinders,gas,109280,clean,automatic,fwd,mid-size,sedan,blue,wi,11018
196,south florida,1978,bmw,good,8 cylinders,gas,127175,clean,other,rwd,full-size,coupe,black,fl,6201
197,rhode island,2016,mazda,good,4 cylinders,gas,306841,clean,automatic,fwd,mid-size,sedan,green,ri,4208
198,anchorage / mat-su,2013,ford,excellent,6 cylinders,gas,81311,clean,automatic,fwd,mid-size,sedan,custom,ak,8701
199,knoxville,2013,chevrolet,excellent,4 cylinders,gas,159795,clean,automatic,fwd,compact,SUV,black,tn,21257
200,richmond,2011,hyundai,like new,4 cylinders,gas,96398,clean,automatic,fwd,sub-compact,sedan,black,va,4005
201,bakersfield,2015,gmc,good,8 cylinders,gas,18919,clean,automatic,4wd,full-size,truck,black,,35433
202,las vegas,1990,bmw,excellent,6 cylinders,gas,85348,clean,automatic,rwd,full-size,coupe,black,nv,5090
203,corpus christi,2013,jeep,excellent,6 cylinders,gas,132374,clean,automatic,4wd,mid-size,truck,black,tx,27039
204,new haven,1998,BUICK,excellent,6 cylinders,gas,176884,clean,automatic,fwd,full-size,sedan,green,ct,3482
205,jackson,2001,ford,excellent,8 cylinders,gas,86705,clean,automatic,4wd,full-size,truck,black,tn,12049
206,dayton / springfield,1984,chevrolet,good,4 cylinders,gas,99730,clean,automatic,fwd,full-size,coupe,blue,oh,14722
207,san luis obispo,2019,FORD,good,4 cylinders,gas,25710,clean,automatic,fwd,compact,hatchback,white,ca,12713
208,inland empire,2010,chevrolet,good,8 cylinders,gas,93555,clean,automatic,rwd,full-size,truck,white,ca,21419
209,ft myers / SW florida,2011,toyota,excellent,4 cylinders,gas,24780,salvage,automatic,fwd,mid-size,sedan,black,fl,4201
210,san antonio,2012,jeep,excellent,6 cylinders,gas,85714,clean,automatic,rwd,full-size,SUV,black,tx,7317
211,inland empire,1973,chevrolet,good,8 cylinders,gas,-1,clean,manual,rwd,full-size,coupe,black,ca,6335
212,billings,2010,jeep,good,6 cylinders,gas,139878,clean,automatic,4wd,full-size,SUV,silver,mt,4382
213,spokane / coeur d'alene,2003,ram,excellent,6 cylinders,diesel,89844,clean,automatic,4wd,full-size,pickup,black,,16259
214,"washington, DC",2011,chevrolet,excellent,4 cylinders,gas,96418,clean,automatic,fwd,mid-size,sedan,black,dc,7539
215,chicago,2012,subaru,excellent,6 cylinders,gas,195098,clean,automatic,4wd,mid-size,SUV,black,,10050
216,tallahassee,2012,volkswagen,good,4 cylinders,gas,157679,clean,other,fwd,full-size,sedan,blue,,6874
217,prescott,2010,toyota,excellent,4 cylinders,gas,253321,rebuilt,automatic,fwd,compact,hatchback,silver,az,4821
218,"washington, DC",2012,jeep,good,4 cylinders,gas,115650,clean,other,fwd,mid-size,sedan,blue,,8481
219,texoma,1980,ford,good,6 cylinders,gas,83832,clean,manual,rwd,full-size,coupe,brown,ok,13481
220,memphis,2014,chevrolet,excellent,6 cylinders,gas,157756,clean,automatic,fwd,full-size,sedan,silver,tn,22134
221,des moines,2018,toyota,excellent,4 cylinders,gas,324772,clean,manual,fwd,compact,hatchback,silver,,10717
222,youngstown,2005,ford,like new,4 cylinders,gas,150876,clean,automatic,fwd,mid-size,convertible,blue,oh,12125
223,east oregon,2009,FORD,good,6 cylinders,,160230,clean,manual,4wd,mid-size,truck,white,or,20864
224,inland empire,2013,chevrolet,good,8 cylinders,diesel,124485,clean,automatic,4wd,full-size,truck,black,ca,6252
225,cape cod / islands,2017,ford,excellent,8 cylinders,diesel,104129,clean,automatic,4wd,full-size,pickup,white,ma,13295
226,colorado springs,2009,chevrolet,excellent,4 cylinders,gas,154975,clean,automatic,4wd,full-size,SUV,black,co,27073
227,rapid city / west SD,1990,ford,good,6 cylinders,gas,229486,clean,automatic,4wd,full-size,SUV,black,sd,5192
228,hickory / lenoir,2008,ford,like new,4 cylinders,gas,37650,clean,automatic,rwd,mid-size,SUV,white,nc,18391
229,florence,2014,saturn,like new,4 cylinders,gas,94756,clean,automatic,fwd,compact,sedan,silver,,7229
230,raleigh / durham / CH,2014,FORD,excellent,6 cylinders,gas,6189,clean,automatic,4wd,mid-size,SUV,blue,,36030
231,"washington, DC",2010,chevrolet,excellent,4 cylinders,gas,107352,clean,automatic,fwd,compact,sedan,black,dc,5803
232,tucson,2006,honda,fair,6 cylinders,gas,128288,clean,automatic,fwd,full-size,sedan,blue,az,6455
233,ventura county,2014,volkswagen,excellent,4 cylinders,gas,73132,clean,automatic,fwd,mid-size,sedan,silver,ca,8971
234,duluth / superior,2008,bmw,excellent,4 cylinders,gas,127188,clean,automatic,fwd,mid-size,sedan,black,mn,6413
235,yakima,2011,mazda,excellent,4 cylinders,gas,93086,clean,manual,fwd,mid-size,other,silver,wa,8695
236,denver,2009,infiniti,fair,8 cylinders,gas,152621,clean,automatic,fwd,full-size,SUV,silver,co,6917
237,philadelphia,2011,chevrolet,good,6 cylinders,gas,42491,clean,automatic,rwd,full-size,coupe,white,,28449
238,south bend / michiana,2010,ford,excellent,4 cylinders,gas,162021,clean,automatic,fwd,mid-size,sedan,red,in,3106
